Job Title,Company Name,Job Location,Skills Required,Date Posted

Data Analyst,Confidential ,"Mohandessin, Giza, Egypt",Full TimeHybridEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · analytical · Communication skills · Computer Science · Data · Data Analysis · Engineering · ETL,2 days ago

Data Analyst,CRIF EGYPT ,"Heliopolis, Cairo, Egypt",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · analytical · Analysis,2 days ago

Data Analyst Team Leader,3Sixty ,"Mohandessin, Giza, Egypt",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AWS · Analysis · Computer Engineering · Azure · Computer Science · Data Analyst · Data Analysis,14 days ago

Business Data Analyst,Fawry Plus ,"Smart Village, Giza, Egypt",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Analyst/Research · business · Analyst · Business Analysis · Data Analyst · Analysis · Data Analysis · English · Information Technology (IT) · Computer Science,15 days ago

Data/Business Analyst Intern,kafiil ,"Maadi, Cairo, Egypt",InternshipOn-siteEntry Level · Business Development · IT/Software Development · Analyst/Research · analytical · Analysis · Business Analysis · Data Analysis · is · excel · Python,17 days ago

Financial Data Analyst,Influence Communication ,"Maadi, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Data visualization · Power BI · Microsoft Excel,18 days ago

Data Analyst,Mazaya ,"New Cairo, Cairo, Egypt",Full TimeShift BasedOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Analyst · Analysis · Data Analyst · Database · Data Analysis · Data · Computer Science · business,25 days ago

Data Analyst,Talaat Moustafa Group ,"Dokki, Giza, Egypt",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data · Data Analysis · Analysis · Computer Science · Database · excel · Information Technology (IT) · Reporting,24 days ago

Data Analyst,Rotem SRS ,"Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Quality · Analyst/Research · Engineering - Mechanical/Electrical · Data Analysis · Engineering · Analysis · analytical · Statistics · Tableau · SQL,28 days ago

Data Analyst,Al Watania Poultry ,"Smart Village, Giza, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · analytical · Data Analysis · Power BI · Power Pivot,29 days ago

Data Analyst,EGEC ,"Haram, Giza, Egypt",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Engineering - Other · analytical · Analysis · Computer Science · Reporting · Data Analysis · Communication skills,29 days ago

Marketing Executive  Data Analyst,Kasrawy Group ,"Abu Rawash, Giza, Egypt",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Marketing · Market Research,1 month ago

Data Analyst,Alarabia Group ,"Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Sales/Retail · business · Computer Science · Analysis · Computer Skills · Data Analysis · Information Technology (IT) · Sales,1 month ago

Data Analyst,Second profit   ,"Nasr City, Cairo, Egypt",Full TimeRemoteExperienced · 2 - 4 Yrs of Exp · Other · SQL · Tableau · Power BI · Oracle Database · Data Warehouse · JavaScript,1 month ago

HR Analyst,Fawry MSME Finance  ,"Giza, Egypt",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Human Resources · Analyst/Research · Analytics · Analysis · HR · Human Resources · excel · Human Resources (HR) · Microsoft Office · Data Analysis,25 days ago

Data Marketing Analyst,Madar Soft ,"Fleming, Alexandria, Egypt",Full TimeRemoteExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · CRM · Analysis · analytical · Data Analysis · Google Analytics · Market Research · SPSS · SAS,4 days ago

Senior ERP Business Analyst,BITechnologies ,"New Cairo, Cairo, Egypt",Full TimeHybridExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · business · Business Development · Computer Science · Information Technology (IT) · Data · Management,3 days ago

Data Analyst,Naguib Selim ,"Nasr City, Cairo, Egypt",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data Analysis · Data Analyst · Information Technology (IT) · analytical,4 days ago

Sales Data Analyst,ICONIC FMCG  ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Sales/Retail · Analysis · Data · Data Analysis · Data Analyst · Retail · Sales,3 days ago

Operation Analyst Specialist,Etisal EG ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Business Development · Operations/Management · Data Analysis · analytical · Operations · English,1 day ago

Senior Data Intelligence Analyst,Almosafer ,"Mohandessin, Giza, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Analyst/Research · Analysis · Data · Data Analysis · English · analytical,1 month ago

